ent,año,categoria,porcentaje,value,cve_ent,nom_ent
26,2016,ic_sbv,0.0972539788260142,276559,26,Sonora
26,2016,ic_ali_nc,0.211970201970829,602775,26,Sonora
26,2016,carencias,0.568238738703882,1615888,26,Sonora
26,2016,carencias3,0.123340968984534,350742,26,Sonora
26,2016,plp_e,0.0584517656359122,166218,26,Sonora
26,2016,plp,0.353766495362689,1005998,26,Sonora
27,2016,pobreza,0.53843614624663,1255975,27,Tabasco
27,2016,pobreza_m,0.423479884336816,987824,27,Tabasco
27,2016,pobreza_e,0.114956261909814,268151,27,Tabasco
27,2016,vul_car,0.303013973467774,706821,27,Tabasco
27,2016,vul_ing,0.0312650714749628,72930,27,Tabasco
27,2016,no_pobv,0.127284808810637,296909,27,Tabasco
27,2016,ic_rezedu,0.176226885046309,411073,27,Tabasco
27,2016,ic_asalud,0.134084843964015,312771,27,Tabasco
27,2016,ic_segsoc,0.628220445976335,1465409,27,Tabasco
27,2016,ic_cv,0.123297043900997,287607,27,Tabasco
27,2016,ic_sbv,0.487972185961374,1138261,27,Tabasco
27,2016,ic_ali_nc,0.480646993635956,1121174,27,Tabasco
27,2016,carencias,0.841450119714372,1962796,27,Tabasco
27,2016,carencias3,0.373720706411419,871754,27,Tabasco
27,2016,plp_e,0.184693704758781,430823,27,Tabasco
27,2016,plp,0.569701217721593,1328905,27,Tabasco
28,2016,pobreza,0.320434211294747,1097359,28,Tamaulipas
28,2016,pobreza_m,0.29324417450213,1004244,28,Tamaulipas
28,2016,pobreza_e,0.0271900367926181,93115,28,Tamaulipas
28,2016,vul_car,0.271931320446184,931256,28,Tamaulipas
28,2016,vul_ing,0.105247036150207,360429,28,Tamaulipas
28,2016,no_pobv,0.302387432108861,1035556,28,Tamaulipas
28,2016,ic_rezedu,0.155363546107576,532058,28,Tamaulipas
28,2016,ic_asalud,0.127547450797174,436799,28,Tamaulipas
28,2016,ic_segsoc,0.412304210710736,1411977,28,Tamaulipas
28,2016,ic_cv,0.0642591835542837,220062,28,Tamaulipas
28,2016,ic_sbv,0.0974478771243362,333720,28,Tamaulipas
28,2016,ic_ali_nc,0.196279565496702,672179,28,Tamaulipas
28,2016,carencias,0.592365531740913,2028615,28,Tamaulipas
28,2016,carencias3,0.110938211761958,379919,28,Tamaulipas
28,2016,plp_e,0.100297845003796,343480,28,Tamaulipas
28,2016,plp,0.425681247444955,1457788,28,Tamaulipas
